State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
TX,48173,Glasscock County,1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
TX,48175,Goliad County,7658,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,37.0,25.0,44.0,0.0,31.0,3.0,2.0,9.0
TX,48177,Gonzales County,20837,0.0,0.0,0.0,0.0,1.0,1.0,16.0,44.0,38.0,55.0,76.0,83.0,185.0,147.0,103.0,68.0,5.0,236.0,31.0,26.0
TX,48179,Gray County,21886,0.0,0.0,0.0,0.0,1.0,12.0,29.0,35.0,19.0,10.0,7.0,13.0,15.0,64.0,27.0,12.0,28.0,45.0,57.0,121.0
TX,48181,Grayson County,136212,0.0,0.0,0.0,0.0,8.0,11.0,8.0,85.0,198.0,79.0,148.0,151.0,192.0,171.0,271.0,205.0,217.0,164.0,283.0,441.0
TX,48183,Gregg County,123945,0.0,0.0,0.0,1.0,5.0,40.0,23.0,67.0,61.0,76.0,40.0,339.0,470.0,226.0,371.0,207.0,159.0,180.0,122.0,181.0
TX,48185,Grimes County,28880,0.0,0.0,0.0,0.0,3.0,4.0,9.0,38.0,57.0,141.0,60.0,305.0,149.0,92.0,78.0,59.0,66.0,27.0,45.0,56.0
TX,48187,Guadalupe County,166847,0.0,0.0,0.0,0.0,17.0,33.0,30.0,19.0,25.0,27.0,316.0,434.0,511.0,238.0,166.0,85.0,47.0,1649.0,177.0,114.0
TX,48189,Hale County,33406,0.0,0.0,0.0,0.0,1.0,10.0,13.0,16.0,16.0,11.0,111.0,414.0,382.0,270.0,276.0,124.0,125.0,140.0,189.0,461.0
TX,48191,Hall County,2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,5.0,1.0,4.0,14.0,2.0,8.0
TX,48193,Hamilton County,8461,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,9.0,7.0,23.0,6.0,40.0,10.0,5.0,35.0,31.0,25.0
TX,48195,Hansford County,5399,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,5.0,3.0,3.0,7.0,14.0,13.0,40.0,4.0,6.0,17.0,59.0,7.0
TX,48197,Hardeman County,3933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,7.0,5.0,0.0,2.0,1.0,24.0,14.0
TX,48199,Hardin County,57602,0.0,0.0,0.0,0.0,13.0,52.0,34.0,16.0,21.0,8.0,61.0,98.0,321.0,278.0,254.0,10.0,133.0,51.0,31.0,67.0
TX,48201,Harris County,4713325,0.0,0.0,0.0,10.0,670.0,3227.0,2079.0,2430.0,2865.0,3957.0,9183.0,14890.0,19169.0,21063.0,14329.0,13618.0,12846.0,21979.0,9565.0,7737.0
TX,48203,Harrison County,66553,0.0,0.0,0.0,0.0,3.0,31.0,50.0,108.0,44.0,23.0,20.0,110.0,138.0,117.0,109.0,56.0,37.0,59.0,74.0,111.0
TX,48205,Hartley County,5576,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,27.0,32.0,10.0,15.0,5.0,10.0,23.0,23.0,13.0
